    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.043388e+03         1.043388e+03         0.000000e+00
           2         8.567123e+02         9.500501e+02         6.599984e+01
           3         9.970432e+02         9.657145e+02         4.582109e+01
           4         8.772350e+02         9.435946e+02         3.934433e+01
           5         9.057948e+02         9.360346e+02         3.219359e+01
           6         1.004271e+03         9.474074e+02         2.876672e+01
           7         9.443972e+02         9.469774e+02         2.466041e+01
           8         9.174108e+02         9.432816e+02         2.185305e+01
           9         8.979517e+02         9.382449e+02         1.999693e+01
          10         8.857038e+02         9.329908e+02         1.867473e+01
          11         9.971330e+02         9.388219e+02         1.786422e+01
          12         9.604045e+02         9.406205e+02         1.646582e+01
          13         8.236772e+02         9.316248e+02         1.748465e+01
          14         9.238205e+02         9.310674e+02         1.624463e+01
          15         8.831995e+02         9.278762e+02         1.547193e+01
          16         8.864428e+02         9.252866e+02         1.472005e+01
          17         9.490275e+02         9.266831e+02         1.392025e+01
          18         9.333465e+02         9.270533e+02         1.315183e+01
          19         1.009589e+03         9.313973e+02         1.315749e+01
          20         9.966190e+02         9.346584e+02         1.289741e+01
