    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         1.512266e+02         1.512266e+02         0.000000e+00
           2         1.527981e+02         1.520124e+02         5.556344e-01
           3         1.534109e+02         1.524785e+02         5.311190e-01
           4         1.528616e+02         1.525743e+02         4.068807e-01
           5         1.589586e+02         1.538511e+02         1.187537e+00
           6         1.509414e+02         1.533662e+02         1.084121e+00
           7         1.488987e+02         1.527280e+02         1.101193e+00
           8         1.546467e+02         1.529678e+02         9.893178e-01
           9         1.569716e+02         1.534127e+02         9.742923e-01
          10         1.486297e+02         1.529344e+02         9.873094e-01
          11         1.538469e+02         1.530173e+02         9.010320e-01
          12         1.526029e+02         1.529828e+02         8.266078e-01
          13         1.517124e+02         1.528851e+02         7.687771e-01
          14         1.512354e+02         1.527672e+02         7.228382e-01
          15         1.584090e+02         1.531434e+02         7.662795e-01
          16         1.561166e+02         1.533292e+02         7.405761e-01
          17         1.541320e+02         1.533764e+02         6.985168e-01
          18         1.591543e+02         1.536974e+02         7.297465e-01
          19         1.523716e+02         1.536276e+02         6.946671e-01
          20         1.525876e+02         1.535756e+02         6.618774e-01
