    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         7.414653e+01         7.414653e+01         0.000000e+00
           2         7.583737e+01         7.499195e+01         5.978030e-01
           3         7.479453e+01         7.492614e+01         4.021411e-01
           4         7.569789e+01         7.511908e+01         3.447971e-01
           5         7.482989e+01         7.506124e+01         2.806466e-01
           6         7.396947e+01         7.487928e+01         2.868585e-01
           7         7.558568e+01         7.498020e+01         2.630310e-01
           8         7.287316e+01         7.471682e+01         3.371465e-01
           9         7.536632e+01         7.478898e+01         3.073124e-01
          10         7.471768e+01         7.478185e+01         2.766639e-01
          11         7.495411e+01         7.479751e+01         2.519554e-01
          12         7.402579e+01         7.473320e+01         2.390256e-01
          13         7.722442e+01         7.492483e+01         2.873668e-01
          14         7.428158e+01         7.487889e+01         2.704889e-01
          15         7.516084e+01         7.489768e+01         2.531085e-01
          16         7.442547e+01         7.486817e+01         2.390037e-01
          17         7.516337e+01         7.488554e+01         2.255746e-01
          18         7.900021e+01         7.511413e+01         3.077969e-01
          19         7.452737e+01         7.508325e+01         2.931422e-01
          20         7.609674e+01         7.513392e+01         2.828311e-01
