    # BLOCK:          ACTUAL_X:          X_AVE:              ERROR:
           1         5.204720e+02         5.204720e+02         0.000000e+00
           2         5.018053e+02         5.111387e+02         6.599663e+00
           3         5.388331e+02         5.203701e+02         8.727630e+00
           4         5.322836e+02         5.233485e+02         7.035582e+00
           5         4.978756e+02         5.182539e+02         7.241788e+00
           6         5.322987e+02         5.205947e+02         6.401967e+00
           7         5.229502e+02         5.209312e+02         5.496237e+00
           8         5.346787e+02         5.226496e+02         5.070736e+00
           9         5.207411e+02         5.224376e+02         4.511753e+00
          10         4.738318e+02         5.175770e+02         6.144185e+00
          11         4.913442e+02         5.151922e+02         6.030706e+00
          12         5.108884e+02         5.148336e+02         5.538801e+00
          13         5.304438e+02         5.160343e+02         5.241286e+00
          14         5.452873e+02         5.181238e+02         5.266968e+00
          15         5.504229e+02         5.202771e+02         5.337876e+00
          16         5.074818e+02         5.194774e+02         5.063809e+00
          17         4.941933e+02         5.179901e+02         4.979568e+00
          18         4.765864e+02         5.156899e+02         5.207159e+00
          19         4.900187e+02         5.143388e+02         5.105379e+00
          20         5.165773e+02         5.144507e+02         4.851337e+00
