    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -8.664686e-01        -8.664686e-01         0.000000e+00
           2        -8.569974e-01        -8.617330e-01         3.348589e-03
           3        -8.608781e-01        -8.614481e-01         2.244485e-03
           4        -8.583554e-01        -8.606749e-01         1.811646e-03
           5        -8.610853e-01        -8.607570e-01         1.451176e-03
           6        -8.645524e-01        -8.613895e-01         1.340112e-03
           7        -8.615028e-01        -8.614057e-01         1.148765e-03
           8        -8.614304e-01        -8.614088e-01         1.005174e-03
           9        -8.644247e-01        -8.617439e-01         9.476988e-04
          10        -8.554088e-01        -8.611104e-01         1.043401e-03
          11        -8.644063e-01        -8.614100e-01         9.906344e-04
          12        -8.611047e-01        -8.613846e-01         9.084082e-04
          13        -8.570432e-01        -8.610506e-01         8.978183e-04
          14        -8.610782e-01        -8.610526e-01         8.336906e-04
          15        -8.584588e-01        -8.608797e-01         7.958425e-04
          16        -8.616494e-01        -8.609278e-01         7.475549e-04
          17        -8.666850e-01        -8.612665e-01         7.765122e-04
          18        -8.614362e-01        -8.612759e-01         7.334298e-04
          19        -8.660311e-01        -8.615262e-01         7.362923e-04
          20        -8.642614e-01        -8.616629e-01         7.120661e-04
