    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -6.859349e-01        -6.859349e-01         0.000000e+00
           2        -6.881479e-01        -6.870414e-01         7.824278e-04
           3        -6.835396e-01        -6.858741e-01         1.086484e-03
           4        -6.839167e-01        -6.853848e-01         9.184806e-04
           5        -6.863933e-01        -6.855865e-01         7.566081e-04
           6        -6.876890e-01        -6.859369e-01         7.070140e-04
           7        -6.848542e-01        -6.857822e-01         6.226991e-04
           8        -6.869059e-01        -6.859227e-01         5.604788e-04
           9        -6.852857e-01        -6.858519e-01         5.026519e-04
          10        -6.871622e-01        -6.859829e-01         4.691531e-04
          11        -6.851037e-01        -6.859030e-01         4.332579e-04
          12        -6.862929e-01        -6.859355e-01         3.983694e-04
          13        -6.864156e-01        -6.859724e-01         3.694335e-04
          14        -6.856046e-01        -6.859461e-01         3.439786e-04
          15        -6.851085e-01        -6.858903e-01         3.255478e-04
          16        -6.870697e-01        -6.859640e-01         3.134349e-04
          17        -6.844444e-01        -6.858746e-01         3.074800e-04
          18        -6.851935e-01        -6.858368e-01         2.927168e-04
          19        -6.852847e-01        -6.858077e-01         2.787493e-04
          20        -6.868603e-01        -6.858604e-01         2.697344e-04
