    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -6.457160e-01        -6.457160e-01         0.000000e+00
           2        -6.491440e-01        -6.474300e-01         1.211981e-03
           3        -6.466200e-01        -6.471600e-01         8.375223e-04
           4        -6.436320e-01        -6.462780e-01         9.889414e-04
           5        -6.447040e-01        -6.459632e-01         8.397633e-04
           6        -6.464480e-01        -6.460440e-01         7.036792e-04
           7        -6.484240e-01        -6.463840e-01         6.803528e-04
           8        -6.477200e-01        -6.465510e-01         6.154635e-04
           9        -6.436680e-01        -6.462307e-01         6.249056e-04
          10        -6.447040e-01        -6.460780e-01         5.807643e-04
          11        -6.495040e-01        -6.463895e-01         6.057517e-04
          12        -6.479800e-01        -6.465220e-01         5.695890e-04
          13        -6.482640e-01        -6.466560e-01         5.413073e-04
          14        -6.488120e-01        -6.468100e-01         5.240911e-04
          15        -6.438320e-01        -6.466115e-01         5.254114e-04
          16        -6.475440e-01        -6.466698e-01         4.957953e-04
          17        -6.464360e-01        -6.466560e-01         4.668215e-04
          18        -6.476480e-01        -6.467111e-01         4.441282e-04
          19        -6.452280e-01        -6.466331e-01         4.275576e-04
          20        -6.464840e-01        -6.466256e-01         4.062447e-04
