    # BLOCK:          ACTUAL_TE:              TE_AVE:              ERROR:
           1        -7.631920e-01        -7.631920e-01         0.000000e+00
           2        -7.615400e-01        -7.623660e-01         5.840702e-04
           3        -7.588760e-01        -7.612027e-01         1.026570e-03
           4        -7.599560e-01        -7.608910e-01         8.158681e-04
           5        -7.628920e-01        -7.612912e-01         7.444045e-04
           6        -7.612840e-01        -7.612900e-01         6.203381e-04
           7        -7.626880e-01        -7.614897e-01         5.629496e-04
           8        -7.628480e-01        -7.616595e-01         5.175517e-04
           9        -7.605520e-01        -7.615364e-01         4.744496e-04
          10        -7.650600e-01        -7.618888e-01         5.422840e-04
          11        -7.642160e-01        -7.621004e-01         5.326583e-04
          12        -7.605560e-01        -7.619717e-01         5.035775e-04
          13        -7.609440e-01        -7.618926e-01         4.710046e-04
          14        -7.630000e-01        -7.619717e-01         4.439536e-04
          15        -7.616560e-01        -7.619507e-01         4.148553e-04
          16        -7.626120e-01        -7.619920e-01         3.909805e-04
          17        -7.631600e-01        -7.620607e-01         3.739697e-04
          18        -7.596200e-01        -7.619251e-01         3.769751e-04
          19        -7.607200e-01        -7.618617e-01         3.624309e-04
          20        -7.646480e-01        -7.620010e-01         3.701180e-04
